@relation delta_ail
@attribute RollRate real [-0.0208, 0.0177]
@attribute PitchRate real [-0.0077, 0.0108]
@attribute currPitch real [-0.0060, 0.041]
@attribute currRoll real [-0.05, 0.051]
@attribute diffRollRate real [-0.0015, 8.2E-4]
@attribute Sa real [-0.0021, 0.0022]
@inputs RollRate, PitchRate, currPitch, currRoll, diffRollRate
@outputs Sa
@data
0.0020, 0.0025, 0.015, 0.01, -4.0E-5, -1.0E-4
0.0061, 0.0018, 0.019, -0.0080, -1.0E-5, -1.0E-4
0.0056, 0.0013, 0.014, 0.01, -4.0E-5, -1.0E-4
0.0044, 4.0E-4, 0.0080, 0.01, 8.0E-5, -2.0E-4
0.0067, 2.0E-4, 0.01, 0.0, 4.0E-5, -2.0E-4
-0.0038, 8.0E-4, 0.011, 0.015, -2.0E-4, 1.0E-4
0.0050, 0.0010, 0.012, -0.022, 1.6E-4, -1.0E-4
0.0054, 0.0014, 0.012, 0.015, -1.4E-4, -1.0E-4
-0.0036, 0.0015, 0.015, 0.019, -1.7E-4, 1.0E-4
-0.0061, 0.0014, 0.017, 0.0020, -3.0E-5, 1.0E-4
0.0065, -1.0E-4, 0.012, -0.0030, 1.4E-4, -2.0E-4
0.0051, 0.0011, 0.0080, -0.0070, 1.1E-4, -1.0E-4
0.0039, 2.0E-4, 0.0080, 0.01, 1.0E-5, -1.0E-4
-0.0059, 8.0E-4, 0.011, 0.0060, -1.6E-4, 1.0E-4
0.0059, 0.0021, 0.0030, 0.0030, 1.0E-5, -2.0E-4
0.0084, 0.0023, 0.0040, 0.0020, 4.0E-5, -3.0E-4
0.0042, 0.0028, 0.0090, 0.017, -2.8E-4, 1.0E-4
0.0040, 0.0013, 0.0040, -0.0070, 1.1E-4, -2.0E-4
-0.0059, 8.0E-4, 0.0090, -0.014, -3.0E-5, 2.0E-4
0.0055, 1.0E-4, 0.01, 0.013, 9.0E-5, -3.0E-4
-0.0045, 0.0021, 0.013, 0.0050, -1.8E-4, 3.0E-4
-0.0047, 9.0E-4, 0.011, 0.0080, -1.1E-4, 2.0E-4
0.0031, -5.0E-4, 0.0060, -0.0070, 1.4E-4, -2.0E-4
-0.0030, 0.0010, 0.0060, -0.012, 0.0, 1.0E-4
-0.0071, 4.0E-4, 0.012, 0.0010, -7.0E-5, 2.0E-4
0.0043, -5.0E-4, 0.013, -0.0030, 3.0E-5, -2.0E-4
0.0084, 0.0014, 0.011, 0.018, 3.0E-5, -1.0E-4
0.0052, 0.0025, 0.01, 0.024, -1.0E-4, -1.0E-4
-0.0049, 7.0E-4, 0.016, 0.017, -6.0E-5, 1.0E-4
0.0047, 0.0021, 0.0060, -0.0060, 2.2E-4, -2.0E-4
-0.0042, -2.0E-4, 0.013, -0.013, 7.0E-5, 1.0E-4
0.0057, 9.0E-4, 0.02, 0.025, -2.2E-4, -1.0E-4
0.0088, -0.0025, 0.013, -0.0040, 3.1E-4, -2.0E-4
-0.0048, 0.0051, 0.01, 0.021, -2.0E-4, 1.0E-4
0.0039, 0.0021, 0.01, -0.0070, 1.4E-4, -2.0E-4
0.0073, 0.0026, 0.0070, 0.0060, 3.0E-5, -1.0E-4
0.0049, -0.0019, 0.0030, 0.014, -9.0E-5, -3.0E-4
0.0044, 0.0, 0.017, 0.012, -1.0E-4, 1.0E-4
0.0034, 0.0016, 0.012, -0.0070, 1.5E-4, -2.0E-4
0.0038, 0.0014, 0.0060, -0.0070, 1.0E-4, -2.0E-4
0.0089, -0.0033, 0.013, 0.034, -1.9E-4, -2.0E-4
-0.0038, 0.0039, 0.013, -0.0060, -1.6E-4, 1.0E-4
-0.0072, -0.0025, 0.0070, 0.0060, -1.1E-4, 2.0E-4
-0.0037, -5.0E-4, 0.0030, -0.011, 2.1E-4, 1.0E-4
0.0070, 0.0040, 0.0060, 0.0030, 1.6E-4, -2.0E-4
0.0049, 0.0016, 0.019, 0.0040, 2.0E-5, 1.0E-4
-0.0011, -0.0018, 0.0030, 0.031, -2.3E-4, -1.0E-4
0.0088, -2.0E-4, 0.017, 0.012, -1.0E-5, -3.0E-4
-0.0042, 0.0017, 0.018, -0.01, 1.2E-4, 1.0E-4
2.0E-4, 8.0E-4, 0.02, -0.0090, -7.0E-5, 3.0E-4
-0.0020, 0.0016, 0.022, -0.016, 6.0E-5, 1.0E-4
-5.0E-4, 0.0013, 0.012, -0.01, -1.0E-5, 1.0E-4
-0.0060, 0.0023, 0.0070, -0.011, 5.0E-5, 1.0E-4
0.0070, 0.0019, 0.0060, 0.01, -7.0E-5, -1.0E-4
-0.0051, -0.0020, 0.011, -0.013, 2.4E-4, 2.0E-4
-0.0078, 0.0, 0.0040, -0.012, -8.0E-5, 2.0E-4
-0.0047, 0.0015, 0.0050, -0.031, 1.7E-4, 2.0E-4
0.0077, -2.0E-4, 0.0080, -0.041, 4.3E-4, -3.0E-4
0.0059, -2.0E-4, 0.0090, -0.011, 2.4E-4, -2.0E-4
0.0054, 6.0E-4, 0.0080, 0.011, -6.0E-5, -1.0E-4
0.0052, 0.0012, 0.0080, -0.0080, 1.9E-4, -2.0E-4
0.0019, 0.0021, 0.0080, 0.03, -2.9E-4, 1.0E-4
-0.0063, -0.0023, 0.0090, 0.023, -1.9E-4, 3.0E-4
0.0075, -0.0010, 0.013, -0.024, 4.1E-4, -2.0E-4
0.0079, 0.0039, 0.013, 0.021, -2.5E-4, -1.0E-4
0.0063, -0.0018, 0.01, -0.012, 3.3E-4, -3.0E-4
0.0060, 0.0017, 0.014, -0.032, 2.2E-4, 1.0E-4
0.0056, 0.0025, 0.0080, 0.011, 3.0E-5, -2.0E-4
0.0035, 0.0010, 0.0060, -0.0020, 6.0E-5, -1.0E-4
0.0022, 0.0012, 0.01, 0.011, -6.0E-5, -1.0E-4
-0.0040, -2.0E-4, 0.014, 0.0050, -8.0E-5, 2.0E-4
-0.0022, -6.0E-4, 0.01, -0.013, 2.0E-5, 1.0E-4
-0.0021, 4.0E-4, 0.0080, -0.01, 4.0E-5, 1.0E-4
0.0052, 4.0E-4, 0.0020, 0.019, -1.0E-4, -2.0E-4
0.0042, -9.0E-4, -0.0020, 0.01, 5.0E-5, -1.0E-4
0.0041, 0.0014, 0.01, -0.0050, 6.0E-5, -1.0E-4
0.0023, -1.0E-4, 0.015, 0.01, -8.0E-5, -1.0E-4
-0.0050, 0.0029, 0.02, 0.011, -1.1E-4, 1.0E-4
0.0058, 4.0E-4, 0.0050, 0.011, 0.0, -1.0E-4
-0.0040, 0.0011, 0.01, 0.028, -2.6E-4, 1.0E-4
0.0056, 0.0014, 0.0020, 0.014, -1.0E-5, -2.0E-4
-0.0043, 0.0096, 0.014, -0.01, 3.4E-4, 3.0E-4
0.0096, -8.0E-4, 0.012, -0.013, 2.8E-4, -1.0E-4
0.0122, 0.0066, 0.017, 0.0030, 1.2E-4, -9.0E-4
0.0075, 0.0042, 0.023, 0.025, -5.4E-4, -2.0E-4
0.0118, 0.0040, 0.0090, -0.026, 4.4E-4, -8.0E-4
-0.0095, 0.0041, 0.023, 0.0040, -2.7E-4, 1.0E-4
0.0133, 0.0024, 0.022, -0.0010, 0.0, -6.0E-4
0.01, -1.0E-4, 0.01, 0.019, -2.2E-4, -1.0E-4
-0.0044, 0.0013, 0.018, 0.025, -2.5E-4, 1.0E-4
-0.0085, 0.0036, 0.01, -0.011, -3.0E-5, 5.0E-4
0.0064, 8.0E-4, 0.0090, 0.019, -3.9E-4, -1.0E-4
-0.0051, 0.0026, 0.012, 0.021, -4.5E-4, 1.0E-4
0.0084, -0.0011, 0.014, -0.038, 3.9E-4, -2.0E-4
0.0035, -1.0E-4, 0.011, 0.01, 1.5E-4, -7.0E-4
-0.0119, 0.0029, 0.01, -0.013, -4.0E-5, 2.0E-4
0.0036, 0.0036, 0.015, 0.03, -2.0E-5, 1.0E-4
-0.0133, -0.0014, 0.0070, 0.0020, -4.0E-4, 5.0E-4
-0.0094, 5.0E-4, 0.0040, -0.031, 3.4E-4, 1.0E-4
0.0113, 0.0016, 0.011, -0.022, 2.4E-4, -2.0E-4
0.0096, -4.0E-4, 0.019, 0.0010, 1.5E-4, -6.0E-4
0.0015, -0.0023, 0.0070, 0.01, 4.0E-5, -1.0E-4
0.0011, -0.0010, 0.0060, 0.01, -1.0E-5, -2.0E-4
0.0057, 0.0029, 0.01, 0.014, -7.0E-5, -1.0E-4
-0.0047, -0.0011, 0.014, 0.0060, -5.0E-5, 1.0E-4
0.0048, -0.0016, 0.0090, 0.012, 4.0E-5, -1.0E-4
-0.0050, 4.0E-4, 0.0070, 0.0040, -6.0E-5, 1.0E-4
0.0010, -6.0E-4, 0.011, 0.011, -1.1E-4, -1.0E-4
0.0033, 0.0010, 0.011, 0.01, 7.0E-5, -2.0E-4
-0.0054, 0.0027, 0.013, -0.013, -2.0E-5, 1.0E-4
0.0058, 3.0E-4, 0.013, 0.012, -1.0E-5, -2.0E-4
